[OP] Cast: in=[(256, 3, 227, 227)] -> out=(256, 3, 227, 227) | drv used/total=1.52 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 96, 1, 1), ()] -> out=(1, 96, 1, 1) | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.19 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 96, 55, 55), (1, 96, 1, 1)] -> out=(256, 96, 55, 55) | drv used/total=3.34 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.34 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 96, 1, 1), (256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=3.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 96, 1, 1)] -> out=(1, 96, 1, 1) | drv used/total=3.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 96, 55, 55), (1, 96, 1, 1)] -> out=(256, 96, 55, 55) | drv used/total=3.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=3.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 96, 55, 55)] -> out=(256, 96, 55, 55) | drv used/total=3.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 96, 55, 55)] -> out=(256, 96, 27, 27, 3, 3) | drv used/total=3.79 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Max: in=[(256, 96, 27, 27, 3, 3)] -> out=(256, 96, 27, 27) | drv used/total=3.82 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 96, 27, 27)] -> out=(256, 96, 31, 31) | drv used/total=3.87 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 96, 31, 31)] -> out=(256, 96, 27, 27, 5, 5) | drv used/total=3.87 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 96, 5, 5)] -> out=(256, 96, 5, 5) | drv used/total=3.87 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 96, 27, 27, 5, 5), (256, 96, 5, 5)] -> out=(256, 27, 27, 256) | drv used/total=3.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 27, 27, 256)] -> out=(256, 256, 27, 27) | drv used/total=3.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=4.16 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 27, 27)] -> out=(1, 256, 1, 1) | drv used/total=4.16 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.16 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=4.26 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=4.45 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=4.45 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 256, 27, 27), ()] -> out=(256, 256, 27, 27) | drv used/total=4.65 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 27, 27)] -> out=(1, 256, 1, 1) | drv used/total=4.65 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.65 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=4.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=4.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 256, 1, 1), ()] -> out=(1, 256, 1, 1) | drv used/total=4.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=4.84 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.84 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 256, 1, 1), (256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=4.93 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=4.93 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 256, 27, 27), (1, 256, 1, 1)] -> out=(256, 256, 27, 27) | drv used/total=5.03 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=5.13 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 256, 27, 27)] -> out=(256, 256, 27, 27) | drv used/total=5.13 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 256, 27, 27)] -> out=(256, 256, 13, 13, 3, 3) | drv used/total=5.13 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Max: in=[(256, 256, 13, 13, 3, 3)] -> out=(256, 256, 13, 13) | drv used/total=5.15 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 256, 13, 13)] -> out=(256, 256, 15, 15) | drv used/total=5.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 256, 15, 15)] -> out=(256, 256, 13, 13, 3, 3) | drv used/total=5.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(384, 256, 3, 3)] -> out=(384, 256, 3, 3) | drv used/total=5.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 256, 13, 13, 3, 3), (384, 256, 3, 3)] -> out=(256, 13, 13, 384) | drv used/total=5.22 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 13, 13, 384)] -> out=(256, 384, 13, 13) | drv used/total=5.22 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.29 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=5.29 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.29 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.32 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=5.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 384, 13, 13), ()] -> out=(256, 384, 13, 13) | drv used/total=5.45 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=5.45 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.45 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=5.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 384, 1, 1), ()] -> out=(1, 384, 1, 1) | drv used/total=5.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.52 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.52 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 384, 1, 1), (256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.55 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.55 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.59 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.62 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 384, 13, 13)] -> out=(256, 384, 15, 15) | drv used/total=5.63 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 384, 15, 15)] -> out=(256, 384, 13, 13, 3, 3) | drv used/total=5.63 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(384, 384, 3, 3)] -> out=(384, 384, 3, 3) | drv used/total=5.64 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 384, 13, 13, 3, 3), (384, 384, 3, 3)] -> out=(256, 13, 13, 384) | drv used/total=5.67 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 13, 13, 384)] -> out=(256, 384, 13, 13) | drv used/total=5.67 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.74 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.77 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=5.84 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=5.84 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 384, 13, 13), ()] -> out=(256, 384, 13, 13) | drv used/total=5.91 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 384, 13, 13)] -> out=(1, 384, 1, 1) | drv used/total=5.91 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.91 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=5.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 384, 1, 1), ()] -> out=(1, 384, 1, 1) | drv used/total=5.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.94 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=5.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=5.97 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 384, 1, 1), (256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=6.01 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 384, 1, 1)] -> out=(1, 384, 1, 1) | drv used/total=6.01 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 384, 13, 13), (1, 384, 1, 1)] -> out=(256, 384, 13, 13) | drv used/total=6.04 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 384, 13, 13)] -> out=(256, 384, 13, 13) | drv used/total=6.07 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 384, 13, 13)] -> out=(256, 384, 15, 15) | drv used/total=6.09 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 384, 15, 15)] -> out=(256, 384, 13, 13, 3, 3) | drv used/total=6.09 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 384, 3, 3)] -> out=(256, 384, 3, 3) | drv used/total=6.09 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] TensorDot: in=[(256, 384, 13, 13, 3, 3), (256, 384, 3, 3)] -> out=(256, 13, 13, 256) | drv used/total=6.11 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Transpose: in=[(256, 13, 13, 256)] -> out=(256, 256, 13, 13) | drv used/total=6.11 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 13, 13)] -> out=(256, 256, 13, 13) | drv used/total=6.16 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 13, 13)] -> out=(1, 256, 1, 1) | drv used/total=6.16 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.16 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 13, 13), (1, 256, 1, 1)] -> out=(256, 256, 13, 13) | drv used/total=6.18 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 256, 13, 13)] -> out=(256, 256, 13, 13) | drv used/total=6.23 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.23 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 256, 13, 13), ()] -> out=(256, 256, 13, 13) | drv used/total=6.27 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 256, 13, 13)] -> out=(1, 256, 1, 1) | drv used/total=6.27 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.27 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 256, 13, 13), (1, 256, 1, 1)] -> out=(256, 256, 13, 13) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 256, 1, 1), ()] -> out=(1, 256, 1, 1) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.30 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 256, 13, 13), (1, 256, 1, 1)] -> out=(256, 256, 13, 13) | drv used/total=6.32 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.32 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 256, 1, 1), (256, 256, 13, 13)] -> out=(256, 256, 13, 13) | drv used/total=6.34 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 256, 1, 1)] -> out=(1, 256, 1, 1) | drv used/total=6.34 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 256, 13, 13), (1, 256, 1, 1)] -> out=(256, 256, 13, 13) | drv used/total=6.37 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 256, 13, 13)] -> out=(256, 256, 13, 13) | drv used/total=6.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pad: in=[(256, 256, 13, 13)] -> out=(256, 256, 13, 13) | drv used/total=6.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] SlidingWindowView: in=[(256, 256, 13, 13)] -> out=(256, 256, 6, 6, 3, 3) | drv used/total=6.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Max: in=[(256, 256, 6, 6, 3, 3)] -> out=(256, 256, 6, 6) | drv used/total=6.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Flatten: in=[(256, 256, 6, 6)] -> out=(256, 9216) | drv used/total=6.39 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(9216, 4096)] -> out=(9216, 4096) | drv used/total=6.47 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] MatMul: in=[(256, 9216), (9216, 4096)] -> out=(256, 4096) | drv used/total=6.47 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 4096)] -> out=(1, 4096) | drv used/total=6.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.48 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Pow: in=[(256, 4096), ()] -> out=(256, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mean: in=[(256, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sub: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[()] -> out=() | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(1, 4096), ()] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Sqrt: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Div: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Mul: in=[(1, 4096), (256, 4096)] -> out=(256, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(1, 4096)] -> out=(1, 4096) | drv used/total=6.49 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Add: in=[(256, 4096), (1, 4096)] -> out=(256, 4096) | drv used/total=6.50 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] ReLU: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.50 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
[OP] Cast: in=[(256, 4096)] -> out=(256, 4096) | drv used/total=6.51 GB/16.88 GB | pool used/total=0.00 GB/0.00 GB
